# swept,reasoner_spec (size + family)
# dataset,mmlongbench
# scan,any (digital+scanned)
# sampling,full
# parser,paddleocrvl
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# note,8b bf16 baseline from the representation run
model_spec,T,TL,TLV,V,weights_mb,peak_vram_mb,prefill_ms,latency_ms,n
internvl3-8b-local,19.3 [15.9-22.8],25.3 [22.0-28.7],32.6 [28.6-36.9],24.1 [20.2-28.4],15889,64151,-,5196,3339
qwen3vl-2b-local,24.7 [20.9-28.4],31.9 [28.5-35.2],38.3 [34.7-41.7],31.9 [28.3-35.6],4255,14264,17992,23760,3388
qwen3vl-4b-local,32.3 [27.5-37.1],38.6 [34.4-42.7],50.4 [46.6-54.1],42.4 [38.2-46.9],8876,17266,17365,24123,3388
qwen3vl-8b-local,31.9 [27.1-36.7],38.4 [34.4-42.5],52.4 [48.3-56.4],45.5 [41.6-49.6],17534,26995,13488,19844,3388
n (per col),3386,3383,3348,3386,-,-,-,-,-
