# swept,prompt_mode × doc_type
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV
# pool,unanswerable
# page_selection,"similarity (bm25, k=3)"
# page_selection note,"described as similarity (bm25, k=3); rows are emitted under base retrieved_text_k3 with provenance=retrieved"
doc_type,none,generic,targeted,n_none,n_generic,n_targeted
Academic paper,10.0,5.0,70.0,200,200,200
Administration/Industry file,16.2,14.7,72.1,68,68,68
Brochure,13.5,9.4,65.6,96,96,96
Financial report,13.9,8.3,69.4,36,36,36
Guidebook,17.4,6.9,88.2,144,144,144
Research report / Introduction,21.9,11.1,82.4,324,324,324
Tutorial/Workshop,20.4,21.3,96.3,108,108,108
n (per col),976,976,976,-,-,-
