# swept,cell pool coverage (shared with the earlier ladder vs recovered)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,answerable
# page_selection,oracle
# prompt_mode,none (the condition both runs share)
rung,earlier run,shared cells,recovered cells,new run (all),n shared / recovered
T,31.9,31.9,31.2,31.9,831 / 16
TL,39.4,39.9,29.1,38.8,761 / 86
TLV,56.8,57.0,27.7,52.5,717 / 130
V,45.9,46.0,15.4,45.6,834 / 13
