# swept,retriever × k (page P/R/F1)
# dataset,mmlongbench
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,TLV/V
# pool,answerable
# page_selection,retrieved (bm25 text / colqwen2.5 vision / joint)
# prompt_mode,none
retriever,modality,k,doc_type,P,R,F1,n
bm25|colmodernvbert,joint,1,Administration/Industry file,0.453,0.500,0.427,64
bm25|colmodernvbert,joint,1,Brochure,0.494,0.548,0.486,77
bm25|colmodernvbert,joint,1,Financial report,0.310,0.387,0.329,108
bm25|colmodernvbert,joint,1,Guidebook,0.508,0.530,0.491,120
bm25|colmodernvbert,joint,1,Research report / Introduction,0.491,0.556,0.488,212
bm25|colmodernvbert,joint,1,Tutorial/Workshop,0.371,0.513,0.408,112
bm25|colmodernvbert,joint,3,Academic paper,0.240,0.730,0.345,154
bm25|colmodernvbert,joint,3,Administration/Industry file,0.261,0.705,0.333,64
bm25|colmodernvbert,joint,3,Brochure,0.229,0.762,0.332,77
bm25|colmodernvbert,joint,3,Financial report,0.141,0.532,0.217,108
bm25|colmodernvbert,joint,3,Guidebook,0.216,0.680,0.309,120
bm25|colmodernvbert,joint,3,Research report / Introduction,0.256,0.737,0.353,212
bm25|colmodernvbert,joint,3,Tutorial/Workshop,0.195,0.709,0.289,112
bm25|colmodernvbert,joint,5,Academic paper,0.178,0.836,0.281,154
bm25|colmodernvbert,joint,5,Administration/Industry file,0.209,0.821,0.288,64
bm25|colmodernvbert,joint,5,Brochure,0.160,0.823,0.255,77
bm25|colmodernvbert,joint,5,Financial report,0.090,0.565,0.151,108
bm25|colmodernvbert,joint,5,Guidebook,0.147,0.754,0.232,120
bm25|colmodernvbert,joint,5,Research report / Introduction,0.183,0.819,0.279,212
bm25|colmodernvbert,joint,5,Tutorial/Workshop,0.138,0.779,0.223,112
colmodernvbert,vision,1,Academic paper,0.571,0.445,0.484,154
colmodernvbert,vision,1,Administration/Industry file,0.578,0.436,0.467,64
colmodernvbert,vision,1,Brochure,0.636,0.512,0.545,77
colmodernvbert,vision,1,Financial report,0.407,0.350,0.368,108
colmodernvbert,vision,1,Guidebook,0.600,0.475,0.511,120
colmodernvbert,vision,1,Research report / Introduction,0.637,0.490,0.531,212
colmodernvbert,vision,1,Tutorial/Workshop,0.652,0.493,0.535,112
colmodernvbert,vision,3,Academic paper,0.314,0.665,0.406,154
colmodernvbert,vision,3,Administration/Industry file,0.339,0.637,0.393,64
colmodernvbert,vision,3,Brochure,0.316,0.689,0.408,77
colmodernvbert,vision,3,Financial report,0.194,0.458,0.264,108
colmodernvbert,vision,3,Guidebook,0.308,0.646,0.394,120
colmodernvbert,vision,3,Research report / Introduction,0.355,0.692,0.438,212
colmodernvbert,vision,3,Tutorial/Workshop,0.348,0.687,0.430,112
colmodernvbert,vision,5,Academic paper,0.234,0.777,0.342,154
colmodernvbert,vision,5,Administration/Industry file,0.256,0.717,0.328,64
colmodernvbert,vision,5,Brochure,0.231,0.765,0.332,77
colmodernvbert,vision,5,Financial report,0.130,0.509,0.201,108
colmodernvbert,vision,5,Guidebook,0.215,0.729,0.312,120
colmodernvbert,vision,5,Research report / Introduction,0.258,0.771,0.357,212
colmodernvbert,vision,5,Tutorial/Workshop,0.243,0.751,0.341,112
colmodernvbert,vision,7,Academic paper,0.190,0.860,0.297,154
colmodernvbert,vision,7,Administration/Industry file,0.210,0.767,0.285,64
colmodernvbert,vision,7,Brochure,0.178,0.807,0.276,77
colmodernvbert,vision,7,Financial report,0.101,0.544,0.166,108
colmodernvbert,vision,7,Guidebook,0.163,0.759,0.253,120
colmodernvbert,vision,7,Research report / Introduction,0.207,0.819,0.304,212
colmodernvbert,vision,7,Tutorial/Workshop,0.188,0.775,0.280,112
colmodernvbert,vision,10,Academic paper,0.144,0.894,0.238,154
colmodernvbert,vision,10,Administration/Industry file,0.172,0.836,0.247,64
colmodernvbert,vision,10,Brochure,0.142,0.866,0.232,77
colmodernvbert,vision,10,Financial report,0.079,0.600,0.137,108
colmodernvbert,vision,10,Guidebook,0.127,0.802,0.206,120
colmodernvbert,vision,10,Research report / Introduction,0.160,0.855,0.249,212
colmodernvbert,vision,10,Tutorial/Workshop,0.146,0.819,0.230,112
colqwen2.5,vision,1,Academic paper,0.610,0.459,0.505,154
colqwen2.5,vision,1,Administration/Industry file,0.656,0.486,0.524,64
colqwen2.5,vision,1,Brochure,0.636,0.515,0.548,77
colqwen2.5,vision,1,Financial report,0.417,0.352,0.373,108
colqwen2.5,vision,1,Guidebook,0.608,0.485,0.519,120
colqwen2.5,vision,1,Research report / Introduction,0.717,0.540,0.589,212
colqwen2.5,vision,1,Tutorial/Workshop,0.723,0.546,0.592,112
colqwen2.5,vision,3,Academic paper,0.346,0.710,0.443,154
colqwen2.5,vision,3,Administration/Industry file,0.344,0.637,0.397,64
colqwen2.5,vision,3,Brochure,0.329,0.690,0.420,77
colqwen2.5,vision,3,Financial report,0.225,0.535,0.309,108
colqwen2.5,vision,3,Guidebook,0.328,0.695,0.421,120
colqwen2.5,vision,3,Research report / Introduction,0.365,0.703,0.449,212
colqwen2.5,vision,3,Tutorial/Workshop,0.399,0.763,0.486,112
colqwen2.5,vision,5,Academic paper,0.240,0.791,0.351,154
colqwen2.5,vision,5,Administration/Industry file,0.256,0.712,0.329,64
colqwen2.5,vision,5,Brochure,0.234,0.809,0.345,77
colqwen2.5,vision,5,Financial report,0.141,0.553,0.220,108
colqwen2.5,vision,5,Guidebook,0.233,0.767,0.337,120
colqwen2.5,vision,5,Research report / Introduction,0.258,0.767,0.357,212
colqwen2.5,vision,5,Tutorial/Workshop,0.273,0.810,0.376,112
colqwen2.5,vision,7,Academic paper,0.187,0.850,0.293,154
colqwen2.5,vision,7,Administration/Industry file,0.221,0.801,0.301,64
colqwen2.5,vision,7,Brochure,0.174,0.834,0.276,77
colqwen2.5,vision,7,Financial report,0.112,0.604,0.186,108
colqwen2.5,vision,7,Guidebook,0.179,0.805,0.275,120
colqwen2.5,vision,7,Research report / Introduction,0.205,0.803,0.300,212
colqwen2.5,vision,7,Tutorial/Workshop,0.208,0.827,0.306,112
colqwen2.5,vision,10,Academic paper,0.145,0.899,0.239,154
colqwen2.5,vision,10,Administration/Industry file,0.173,0.852,0.251,64
colqwen2.5,vision,10,Brochure,0.131,0.858,0.218,77
colqwen2.5,vision,10,Financial report,0.092,0.677,0.159,108
colqwen2.5,vision,10,Guidebook,0.134,0.826,0.216,120
