# swept,gold evidence-page bucket x rung
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
# cells,"per-cell n rides inline; a thin cell reads as survivorship, not robustness, so this is a trend table rather than a precision one"
evidence pages,T,TL,TV,TLV,V,n
1,65.6 [60.6-70.5] a1.0 w33.4 (n=1093),74.0 [70.7-77.0] a1.3 w24.7 (n=1076),72.5 [68.8-76.0] a0.2 w27.4 (n=1093),74.7 [71.4-77.9] a0.2 w25.2 (n=1073),64.5 [61.0-68.3] a0.2 w35.3 (n=1093),5428
2,62.2 [58.2-66.3] a1.0 w36.7 (n=898),63.4 [59.3-67.7] a0.5 w36.2 (n=871),67.6 [63.8-71.4] a0.3 w32.0 (n=896),70.4 [66.6-74.5] a0.7 w28.8 (n=846),61.5 [57.4-65.6] a0.4 w38.1 (n=906),4417
3,65.9 [58.0-73.4] a1.1 w33.0 (n=182),63.8 [55.4-72.0] a0.6 w35.6 (n=174),68.0 [60.2-75.8] a0.0 w32.0 (n=178),69.1 [61.5-76.7] a0.0 w30.9 (n=162),66.7 [59.5-74.1] a0.0 w33.3 (n=183),879
4-5,53.9 [41.9-65.9] a0.0 w46.1 (n=89),53.2 [43.1-63.4] a0.0 w46.8 (n=79),57.0 [45.8-67.9] a0.0 w43.0 (n=86),59.7 [48.5-71.0] a0.0 w40.3 (n=72),60.7 [48.7-71.1] a0.0 w39.3 (n=89),415
6+,61.3 [38.5-78.4] a3.2 w35.5 (n=31),47.8 [21.1-73.9] a0.0 w52.2 (n=23),66.7 [41.7-86.7] a0.0 w33.3 (n=15),46.2 [22.2-66.7] a0.0 w53.8 (n=13),51.6 [37.5-64.5] a0.0 w48.4 (n=31),113
n (per col),2293,2223,2268,2166,2302,-
