# swept,representation ladder T/TL/TV/TLV/V
# dataset,longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# page_selection,oracle
# prompt_mode,none
task_tag,T,TL,TV,TLV,V,frontier,n
Understanding,74.1 [70.4-77.9] a1.3 w24.6,77.1 [74.2-80.0] a1.2 w21.7,81.7 [79.5-83.9] a0.2 w18.1,83.4 [81.1-85.4] a0.5 w16.1,74.6 [72.1-77.1] a0.4 w25.0,TV,6066
Locating,43.5 [37.6-49.5] a0.3 w56.2,51.6 [45.5-58.1] a0.4 w48.0,46.5 [41.8-51.7] a0.0 w53.5,50.0 [44.5-55.9] a0.0 w50.0,45.4 [40.2-50.6] a0.0 w54.6,T,3378
Reasoning,66.8 [61.3-72.1] a1.3 w31.9,67.5 [62.8-72.1] a0.6 w31.9,71.9 [66.8-76.3] a0.5 w27.6,73.3 [68.8-77.7] a0.6 w26.1,58.3 [53.2-63.4] a0.3 w41.5,T,1818
n (per col),2295,2225,2270,2168,2304,-,-
