# swept,gold page withheld (drop best / drop worst)
# dataset,longdocurl
# scan,any
# sampling,full (hop: multi)
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# representation,T/TL/TLV/V
# pool,"LongDocURL answerable pool, 2,317 questions over 395 documents (51-149 pages, mean 89)"
# prompt_mode,none
# attrition,"OOM attrition is NESTED, not random: at TLV the questions that OOM at d=5 are a strict superset of those at d=4, and so on down. A cell at high distractor count is therefore the surviving lightest questions, so compare down a column only on the matched question set, never on the raw per-cell accuracy"
evidence_source,drop lowest gold R→W,drop lowest gold W→R,drop highest gold R→W,drop highest gold W→R,keep highest only R→W,keep highest only W→R,keep lowest only R→W,keep lowest only W→R,paired n,questions
Figure,22.7,4.4,44.2,2.8,26.3,5.6,48.2,2.4,251,245
Layout,20.1,2.7,36.5,1.6,23.4,2.3,40.7,1.8,513,513
Others†,0.0,0.0,25.0,25.0,0.0,0.0,25.0,25.0,4,4
Table,15.9,3.9,32.2,2.6,17.2,4.3,33.0,1.7,233,233
Text,15.8,4.3,48.1,2.1,19.3,3.7,52.3,2.4,621,621
**All sources**,19.6,3.6,43.2,2.0,22.2,3.5,46.5,1.8,1093,1093
n (per col),-,-,-,-,-,-,-,-,-,-
