# swept,integration gap (M-S) x rung x dataset
# dataset,mmlongbench + longdocurl
# scan,any
# sampling,full
# parser,paddleocrvl
# reasoner_spec,qwen3vl-8b-local
# quantization,bf16
# visual_resolution,med
# pool,answerable
# page_selection,oracle
# prompt_mode,none
# datasets,"both datasets, on their own pools; levels are not comparable across datasets, the response to the intervention is"
# hop,"from the question's gold evidence-page count, annotated the same way by both corpora"
dataset,T,TL,TV,TLV,V,nS,nM
MMLongBench-Doc,-12.2,-13.7,-23.5,-25.0,-21.7,480,358
MMLongBench-Doc (digital),-12.1,-15.7,-24.9,-26.8,-22.9,382,268
LongDocURL,-3.4,-11.6,-5.6,-5.4,-2.5,1093,1209
